name,ring,quadrant,isNew,description,
Open Source,Core,OS / Technology,FALSE,, 
OS - Windows,Core,OS / Technology,FALSE,, 
OS - Linux,Adopt,OS / Technology,FALSE,, 
Cloud Based,Assess,OS / Technology,FALSE,, 
OS - Unix,Hold,OS / Technology,FALSE,, 
OS - Mac,Hold,OS / Technology,FALSE,, 
ALM MicroFocus,Core,Integration / Plugin,FALSE,, 
ALM RQM,Core,Integration / Plugin,FALSE,, 
ALM Rally,Assess,Integration / Plugin,FALSE,, 
ALM Jira - Xray,Core,Integration / Plugin,FALSE,, 
ALM Jira - Zephyr,Hold,Integration / Plugin,FALSE,, 
ALM QTest,Adopt,Integration / Plugin,FALSE,, 
Jenkins,Core,Integration / Plugin,FALSE,, 
Bamboo,Assess,Integration / Plugin,FALSE,, 
TeamCity,Hold,Integration / Plugin,FALSE,, 
Cucumber,Adopt,Integration / Plugin,FALSE,, 
Appium,Core,Integration / Plugin,FALSE,, 
Perfecto,Core,Integration / Plugin,FALSE,, 
TestNG (Plugin),Core,Integration / Plugin,FALSE,, 
SoapUI,Core,Integration / Plugin,FALSE,, 
PACT-Micro services(Plug-in),Core,Integration / Plugin,FALSE,, 
Selenium,Core,Integration / Plugin,FALSE,, 
Python(Plug-in),Core,Integration / Plugin,FALSE,, 
Groovy(Plug-in),Core,Integration / Plugin,FALSE,, 
CircleCI,Assess,Integration / Plugin,FALSE,, 
Docker,Assess,Integration / Plugin,FALSE,, 
Tortoise SVN,Core,Integration / Plugin,FALSE,, 
GIT Hub,Core,Integration / Plugin,FALSE,, 
GIT Lab,Core,Integration / Plugin,FALSE,, 
Kubernetes,Assess,Integration / Plugin,FALSE,, 
Applitools,Core,Integration / Plugin,FALSE,, 
Java - EJB,Assess,Automation Platform,FALSE,, 
Java Swing UI,Core,Automation Platform,FALSE,, 
Java Widgets,Core,Automation Platform,FALSE,, 
Web,Core,Automation Platform,FALSE,, 
Windows,Core,Automation Platform,FALSE,, 
Windows -Widgets,Core,Automation Platform,FALSE,, 
Power builder,Core,Automation Platform,FALSE,, 
Power builder - Widgets,Core,Automation Platform,FALSE,, 
Web services(Plug-in),Core,Automation Platform,FALSE,, 
Mobile IOS,Core,Automation Platform,FALSE,, 
Mobile Android,Core,Automation Platform,FALSE,, 
Unix,Core,Automation Platform,FALSE,, 
DOS,Core,Automation Platform,FALSE,, 
Mainframe,Core,Automation Platform,FALSE,, 
Service Virtualization,Core,Automation Platform,FALSE,, 
Network testing,Hold,Automation Platform,FALSE,, 
Siebel OpenUI,Core,Automation Platform,FALSE,, 
Siebel HI/SI,Assess,Automation Platform,FALSE,, 
Oracle SQL,Core,Automation Platform,FALSE,, 
MySQL,Core,Automation Platform,FALSE,, 
SQL Server,Core,Automation Platform,FALSE,, 
Cassandra,Core,Automation Platform,FALSE,, 
PostGRE SQL,Core,Automation Platform,FALSE,, 
CouchBase,Core,Automation Platform,FALSE,, 
DB2,Core,Automation Platform,FALSE,, 
Access,Core,Automation Platform,FALSE,, 
MongoDB,Core,Automation Platform,FALSE,, 
Record & Playback,Core,Capabilities,FALSE,, 
Analyzer - Auto Fix,Core,Capabilities,FALSE,, 
Shared Repository,Core,Capabilities,FALSE,, 
RPA - Automatic Learning/Modelling of applications,Core,Capabilities,FALSE,, 
Performance,Hold,Capabilities,FALSE,, 
Reporting,Core,Capabilities,FALSE,, 
Email Report,Core,Capabilities,FALSE,, 
Codeless automation using drag & drop,Core,Capabilities,FALSE,, 
Multiple Data Sources,Core,Capabilities,FALSE,, 
Plug-in Support,Core,Capabilities,FALSE,, 
Graphic flow creation,Adopt,Capabilities,FALSE,, 
AI-driven automation,Assess,Capabilities,FALSE,, 
Flow Prediction using ML,Adopt,Capabilities,FALSE,, 
Find and Replace Actions,Core,Capabilities,FALSE,, 
Parallel execution,Core,Capabilities,FALSE,, 
Analytics,Assess,Capabilities,FALSE,, 
Automated Defect Creation in ALM,Core,Capabilities,FALSE,, 
Distributed Execution,Hold,Capabilities,FALSE,, 
Cross-browser Automation,Core,Capabilities,FALSE,, 
Trigger Execution from Web,Core,Capabilities,FALSE,, 
Flow Control,Core,Capabilities,FALSE,, 
Remote test execution,Core,Capabilities,FALSE,, 
Automatic Self Healing in runtime,Assess,Capabilities,FALSE,, 
Unsupervised RPA Robots,Assess,Capabilities,FALSE,, 
Automatic detection of changes in Modelled Application,Adopt,Capabilities,FALSE,, 
Cucumber Gherkin BDD,Core,Capabilities,FALSE,,
ALM Octane,Assess,Integration / Plugin,FALSE,,
